orderid,CustomerId,EmployeeId,orderdate,freight
10354,58,8,2014-11-14,53.80
10355,4,6,2014-11-15,41.95
10356,86,6,2014-11-18,36.71
10357,46,1,2014-11-19,34.88
10358,41,5,2014-11-20,19.64
10359,72,5,2014-11-21,288.43
10360,7,4,2014-11-22,131.70
10361,63,1,2014-11-22,183.17
10362,9,3,2014-11-25,96.04
10363,17,4,2014-11-26,30.54
10364,19,1,2014-11-26,71.97
10365,3,3,2014-11-27,22.00
10366,29,8,2014-11-28,10.14
10367,83,7,2014-11-28,13.55
10368,20,2,2014-11-29,101.95
10369,75,8,2014-12-02,195.68
10370,14,6,2014-12-03,1.17
10371,41,1,2014-12-03,0.45
10372,62,5,2014-12-04,890.78
10373,37,4,2014-12-05,124.12
10374,91,1,2014-12-05,3.94
10375,36,3,2014-12-06,20.12
10376,51,1,2014-12-09,20.39
10377,72,1,2014-12-09,22.21
10378,24,5,2014-12-10,5.44
10379,61,2,2014-12-11,45.03
10380,37,8,2014-12-12,35.03
10381,46,3,2014-12-12,7.99
10382,20,4,2014-12-13,94.77
10383,4,8,2014-12-16,34.24
10384,5,3,2014-12-16,168.64
10385,75,1,2014-12-17,30.96
10386,21,9,2014-12-18,13.99
10387,70,1,2014-12-18,93.63
10388,72,2,2014-12-19,34.86
10389,10,4,2014-12-20,47.42
10390,20,6,2014-12-23,126.38
10391,17,3,2014-12-23,5.45
10392,59,2,2014-12-24,122.46
10393,71,1,2014-12-25,126.56
10394,36,1,2014-12-25,30.34
10395,35,6,2014-12-26,184.41
10396,25,1,2014-12-27,135.35
10397,60,5,2014-12-27,60.26
10398,71,2,2014-12-30,89.16
10399,83,8,2014-12-31,27.36
10400,19,1,2015-01-01,83.93
10401,65,1,2015-01-01,12.51
10402,20,8,2015-01-02,67.88
10403,20,4,2015-01-03,73.79
10404,49,2,2015-01-03,155.97
10405,47,1,2015-01-06,34.82
10406,62,7,2015-01-07,108.04
10407,56,2,2015-01-07,91.48
10408,23,8,2015-01-08,11.26
10409,54,3,2015-01-09,29.83
10410,10,3,2015-01-10,2.40
10411,10,9,2015-01-10,23.65
10412,87,8,2015-01-13,3.77
10413,41,3,2015-01-14,95.66
10414,21,2,2015-01-14,21.48
10415,36,3,2015-01-15,0.20
10416,87,8,2015-01-16,22.72
10417,73,4,2015-01-16,70.29
10418,63,4,2015-01-17,17.55
10419,68,4,2015-01-20,137.35
10420,88,3,2015-01-21,44.12
10421,61,8,2015-01-21,99.23
10422,27,2,2015-01-22,3.02
10423,31,6,2015-01-23,24.50
10424,51,7,2015-01-23,370.61
10425,41,6,2015-01-24,7.93
10426,29,4,2015-01-27,18.69
10427,59,4,2015-01-27,31.29
10428,66,7,2015-01-28,11.09
10429,37,3,2015-01-29,56.63
10430,20,4,2015-01-30,458.78
10431,10,4,2015-01-30,44.17
10432,75,3,2015-01-31,4.34
10433,60,3,2015-02-03,73.83
10434,24,3,2015-02-03,17.92
10435,16,8,2015-02-04,9.21
10436,7,3,2015-02-05,156.66
10437,87,8,2015-02-05,19.97
10438,79,3,2015-02-06,8.24
10439,51,6,2015-02-07,4.07
10440,71,4,2015-02-10,86.53
10441,55,3,2015-02-10,73.02
10442,20,3,2015-02-11,47.94
10443,66,8,2015-02-12,13.95
10444,5,3,2015-02-12,3.50
10445,5,3,2015-02-13,9.30
10446,79,6,2015-02-14,14.68
10447,67,4,2015-02-14,68.66
10448,64,4,2015-02-17,38.82
10449,7,3,2015-02-18,53.30
10450,84,8,2015-02-19,7.23
10451,63,4,2015-02-19,189.09
10452,71,8,2015-02-20,140.26
10453,4,1,2015-02-21,25.36
10454,41,4,2015-02-21,2.74
10455,87,8,2015-02-24,180.45
10456,39,8,2015-02-25,8.12
10457,39,2,2015-02-25,11.57
10458,76,7,2015-02-26,147.06
10459,84,4,2015-02-27,25.09
10460,24,8,2015-02-28,16.27
10461,46,1,2015-02-28,148.61
10462,16,2,2015-03-03,6.17
10463,76,5,2015-03-04,14.78
10464,28,4,2015-03-04,89.00
10465,83,1,2015-03-05,145.04
10466,15,4,2015-03-06,11.93
10467,49,8,2015-03-06,4.93
10468,39,3,2015-03-07,44.12
10469,89,1,2015-03-10,60.18
10470,9,4,2015-03-11,64.56
10471,11,2,2015-03-11,45.59
10472,72,8,2015-03-12,4.20
10473,38,1,2015-03-13,16.37
10474,58,5,2015-03-13,83.49
10475,76,9,2015-03-14,68.52
10476,35,8,2015-03-17,4.41
10477,60,5,2015-03-17,13.02
10478,84,2,2015-03-18,4.81
10479,65,3,2015-03-19,708.95
10480,23,6,2015-03-20,1.35
10481,67,8,2015-03-20,64.33
10482,43,1,2015-03-21,7.48
10483,89,7,2015-03-24,15.28
10484,11,3,2015-03-24,6.88
10485,47,4,2015-03-25,64.45
10486,35,1,2015-03-26,30.53
10487,62,2,2015-03-26,71.07
10488,25,8,2015-03-27,4.93
10489,59,6,2015-03-28,5.29
10490,35,7,2015-03-31,210.19
10491,28,8,2015-03-31,16.96
10492,10,3,2015-04-01,62.89
10493,41,4,2015-04-02,10.64
10494,15,4,2015-04-02,65.99
10495,42,3,2015-04-03,4.65
10496,81,7,2015-04-04,46.77
10497,44,7,2015-04-04,36.21
10498,35,8,2015-04-07,29.75
10499,46,4,2015-04-08,102.02
10500,41,6,2015-04-09,42.68
10501,6,9,2015-04-09,8.85
10502,58,2,2015-04-10,69.32
10503,37,6,2015-04-11,16.74
10504,89,4,2015-04-11,59.13
10505,51,3,2015-04-14,7.13
10506,39,9,2015-04-15,21.19
10507,3,7,2015-04-15,47.45
10508,56,1,2015-04-16,4.99
10509,6,4,2015-04-17,0.15
10510,71,6,2015-04-18,367.63
10511,9,4,2015-04-18,350.64
10512,21,7,2015-04-21,3.53
10513,86,7,2015-04-22,105.65
10514,20,3,2015-04-22,789.95
10515,63,2,2015-04-23,204.47
10516,37,2,2015-04-24,62.78
10517,53,3,2015-04-24,32.07
10518,80,4,2015-04-25,218.15
10519,14,6,2015-04-28,91.76
10520,70,7,2015-04-29,13.37
10521,12,8,2015-04-29,17.22
10522,44,4,2015-04-30,45.33
10523,72,7,2015-05-01,77.63
10524,5,1,2015-05-01,244.79
10525,9,1,2015-05-02,11.06
10526,87,4,2015-05-05,58.59
10527,63,7,2015-05-05,41.90
10528,32,6,2015-05-06,3.35
10529,50,5,2015-05-07,66.69
10530,59,3,2015-05-08,339.22
10531,54,7,2015-05-08,8.12
10532,19,7,2015-05-09,74.46
10533,24,8,2015-05-12,188.04
10534,44,8,2015-05-12,27.94
10535,3,4,2015-05-13,15.64
10536,44,3,2015-05-14,58.88
10537,68,1,2015-05-14,78.85
10538,11,9,2015-05-15,4.87
10539,11,6,2015-05-16,12.36
10540,63,3,2015-05-19,1007.64
10541,34,2,2015-05-19,68.65
10542,39,1,2015-05-20,10.95
10543,46,8,2015-05-21,48.17
10544,48,4,2015-05-21,24.91
10545,43,8,2015-05-22,11.92
10546,84,1,2015-05-23,194.72
10547,72,3,2015-05-23,178.43
10548,79,3,2015-05-26,1.43
10549,63,5,2015-05-27,171.24
10550,30,7,2015-05-28,4.32
10551,28,4,2015-05-28,72.95
10552,35,2,2015-05-29,83.22
10553,87,2,2015-05-30,149.49
10554,56,4,2015-05-30,120.97
10555,71,6,2015-06-02,252.49
10556,73,2,2015-06-03,9.80
10557,44,9,2015-06-03,96.72
10558,4,1,2015-06-04,72.97
10559,7,6,2015-06-05,8.05
10560,25,8,2015-06-06,36.65
10561,24,2,2015-06-06,242.21
10562,66,1,2015-06-09,22.95
10563,67,2,2015-06-10,60.43
10564,65,4,2015-06-10,13.75
10565,51,8,2015-06-11,7.15
10566,7,9,2015-06-12,88.40
10567,37,1,2015-06-12,33.97
10568,29,3,2015-06-13,6.54
10569,65,5,2015-06-16,58.98
10570,51,3,2015-06-17,188.99
10571,20,8,2015-06-17,26.06
10572,5,3,2015-06-18,116.43
10573,3,7,2015-06-19,84.84
10574,82,4,2015-06-19,37.60
10575,52,5,2015-06-20,127.34
10576,80,3,2015-06-23,18.56
10577,82,9,2015-06-23,25.41
10578,11,4,2015-06-24,29.60
10579,45,1,2015-06-25,13.73
10580,56,4,2015-06-26,75.89
10581,21,3,2015-06-26,3.01
10582,6,3,2015-06-27,27.71
10583,87,2,2015-06-30,7.28
10584,7,4,2015-06-30,59.14
10585,88,7,2015-07-01,13.41
10586,66,9,2015-07-02,0.48
10587,61,1,2015-07-02,62.52
10588,63,2,2015-07-03,194.67
10589,32,8,2015-07-04,4.42
10590,51,4,2015-07-07,44.77
10591,83,1,2015-07-07,55.92
10592,44,3,2015-07-08,32.10
10593,44,7,2015-07-09,174.20
10594,55,3,2015-07-09,5.24
10595,20,2,2015-07-10,96.78
10596,89,8,2015-07-11,16.34
10597,59,7,2015-07-11,35.12
10598,65,1,2015-07-14,44.42
10599,11,6,2015-07-15,29.98
10600,36,4,2015-07-16,45.13
10601,35,7,2015-07-16,58.30
10602,83,8,2015-07-17,2.92
10603,71,8,2015-07-18,48.77
10604,28,1,2015-07-18,7.46
10605,51,1,2015-07-21,379.13
10606,81,4,2015-07-22,79.40
10607,71,5,2015-07-22,200.24
10608,79,4,2015-07-23,27.79
10609,18,7,2015-07-24,1.85
10610,41,8,2015-07-25,26.78
10611,91,6,2015-07-25,80.65
10612,71,1,2015-07-28,544.08
10613,35,4,2015-07-29,8.11
10614,6,8,2015-07-29,1.93
10615,90,2,2015-07-30,0.75
10616,32,1,2015-07-31,116.53
10617,32,4,2015-07-31,18.53
10618,51,1,2015-08-01,154.68
10619,51,3,2015-08-04,91.05
10620,42,2,2015-08-05,0.94
10621,38,4,2015-08-05,23.73
10622,67,4,2015-08-06,50.97
10623,25,8,2015-08-07,97.18
10624,78,4,2015-08-07,94.80
10625,2,3,2015-08-08,43.90
10626,5,1,2015-08-11,138.69
10627,71,8,2015-08-11,107.46
10628,7,4,2015-08-12,30.36
10629,30,4,2015-08-12,85.46
10630,39,1,2015-08-13,32.35
10631,41,8,2015-08-14,0.87
10632,86,8,2015-08-14,41.38
10633,20,7,2015-08-15,477.90
10634,23,4,2015-08-15,487.38
10635,49,8,2015-08-18,47.46
10636,87,4,2015-08-19,1.15
10637,62,6,2015-08-19,201.29
10638,47,3,2015-08-20,158.44
10639,70,7,2015-08-20,38.64
10640,86,4,2015-08-21,23.55
10641,35,4,2015-08-22,179.61
10642,73,7,2015-08-22,41.89
10643,1,6,2015-08-25,29.46
10644,88,3,2015-08-25,0.14
10645,34,4,2015-08-26,12.41
10646,37,9,2015-08-27,142.33
10647,61,4,2015-08-27,45.54
10648,67,5,2015-08-28,14.25
10649,50,5,2015-08-28,6.20
10650,21,5,2015-08-29,176.81
10651,86,8,2015-09-01,20.60
10652,31,4,2015-09-01,7.14
10653,25,1,2015-09-02,93.25
10654,5,5,2015-09-02,55.26
10655,66,1,2015-09-03,4.41
10656,32,6,2015-09-04,57.15
10657,71,2,2015-09-04,352.69
10658,63,4,2015-09-05,364.15
10659,62,7,2015-09-05,105.81
10660,36,8,2015-09-08,111.29
10661,37,7,2015-09-09,17.55
10662,48,3,2015-09-09,1.28
10663,9,2,2015-09-10,113.15
10664,28,1,2015-09-10,1.27
10665,48,1,2015-09-11,26.31
10666,68,7,2015-09-12,232.42
10667,20,7,2015-09-12,78.09
10668,86,1,2015-09-15,47.22
10669,73,2,2015-09-15,24.39
10670,25,4,2015-09-16,203.48
10671,26,1,2015-09-17,30.34
10672,5,9,2015-09-17,95.75
10673,90,2,2015-09-18,22.76
10674,38,4,2015-09-18,0.90
10675,25,5,2015-09-19,31.85
10676,80,2,2015-09-22,2.01
10677,3,1,2015-09-22,4.03
10678,71,7,2015-09-23,388.98
10679,7,8,2015-09-23,27.94
10680,55,1,2015-09-24,26.61
10681,32,3,2015-09-25,76.13
10682,3,3,2015-09-25,36.13
10683,18,2,2015-09-26,4.40
10684,56,3,2015-09-26,145.63
10685,31,4,2015-09-29,33.75
10686,59,2,2015-09-30,96.50
10687,37,9,2015-09-30,296.43
10688,83,4,2015-10-01,299.09
10689,5,1,2015-10-01,13.42
10690,34,1,2015-10-02,15.80
10691,63,2,2015-10-03,810.05
10692,1,4,2015-10-03,61.02
10693,89,3,2015-10-06,139.34
10694,63,8,2015-10-06,398.36
10695,90,7,2015-10-07,16.72
10696,89,8,2015-10-08,102.55
10697,47,3,2015-10-08,45.52
10698,20,4,2015-10-09,272.47
10699,52,3,2015-10-09,0.58
10700,71,3,2015-10-10,65.10
10701,37,6,2015-10-13,220.31
10702,1,4,2015-10-13,23.94
10703,24,6,2015-10-14,152.30
10704,62,6,2015-10-14,4.78
10705,35,9,2015-10-15,3.52
10706,55,8,2015-10-16,135.63
10707,4,4,2015-10-16,21.74
10708,77,6,2015-10-17,2.96
10709,31,1,2015-10-17,210.80
10710,27,1,2015-10-20,4.98
10711,71,5,2015-10-21,52.41
10712,37,3,2015-10-21,89.93
10713,71,1,2015-10-22,167.05
10714,71,5,2015-10-22,24.49
10715,9,3,2015-10-23,63.20
10716,64,4,2015-10-24,22.57
10717,25,1,2015-10-24,59.25
10718,39,1,2015-10-27,170.88
10719,45,8,2015-10-27,51.44
10720,61,8,2015-10-28,9.53
10721,63,5,2015-10-29,48.92
10722,71,8,2015-10-29,74.58
10723,89,3,2015-10-30,21.72
10724,51,8,2015-10-30,57.75
10725,21,4,2015-10-31,10.83
10726,19,4,2015-11-03,16.56
10727,66,2,2015-11-03,89.90
10728,62,4,2015-11-04,58.33
10729,47,8,2015-11-04,141.06
10730,9,5,2015-11-05,20.12
10731,14,7,2015-11-06,96.65
10732,9,3,2015-11-06,16.97
10733,5,1,2015-11-07,110.11
10734,31,2,2015-11-07,1.63
10735,45,6,2015-11-10,45.97
10736,37,9,2015-11-11,44.10
10737,85,2,2015-11-11,7.79
10738,74,2,2015-11-12,2.91
10739,85,3,2015-11-12,11.08
10740,89,4,2015-11-13,81.88
10741,4,4,2015-11-14,10.96
10742,10,3,2015-11-14,243.73
10743,4,1,2015-11-17,23.72
10744,83,6,2015-11-17,69.19
10745,63,9,2015-11-18,3.52
10746,14,1,2015-11-19,31.43
10747,59,6,2015-11-19,117.33
10748,71,3,2015-11-20,232.55
10749,38,4,2015-11-20,61.53
10750,87,9,2015-11-21,79.30
10751,68,3,2015-11-24,130.79
10752,53,2,2015-11-24,1.39
10753,27,3,2015-11-25,7.70
10754,49,6,2015-11-25,2.38
10755,9,4,2015-11-26,16.71
10756,75,8,2015-11-27,73.21
10757,71,6,2015-11-27,8.19
10758,68,3,2015-11-28,138.17
10759,2,3,2015-11-28,11.99
10760,50,4,2015-12-01,155.64
10761,65,5,2015-12-02,18.66
10762,24,3,2015-12-02,328.74
10763,23,3,2015-12-03,37.35
10764,20,6,2015-12-03,145.45
10765,63,3,2015-12-04,42.74
10766,56,4,2015-12-05,157.55
10767,76,4,2015-12-05,1.59
10768,4,3,2015-12-08,146.32
10769,83,3,2015-12-08,65.06
10770,34,8,2015-12-09,5.32
10771,20,9,2015-12-10,11.19
10772,44,3,2015-12-10,91.28
10773,20,1,2015-12-11,96.43
10774,24,4,2015-12-11,48.20
10775,78,7,2015-12-12,20.25
10776,20,1,2015-12-15,351.53
10777,31,7,2015-12-15,3.01
10778,5,3,2015-12-16,6.79
10779,52,3,2015-12-16,58.13
10780,46,2,2015-12-16,42.13
10781,87,2,2015-12-17,73.16
10782,12,9,2015-12-17,1.10
10783,34,4,2015-12-18,124.98
10784,49,4,2015-12-18,70.09
10785,33,1,2015-12-18,1.51
10786,62,8,2015-12-19,110.87
10787,41,2,2015-12-19,249.93
10788,63,1,2015-12-22,42.70
10789,23,1,2015-12-22,100.60
10790,31,6,2015-12-22,28.23
10791,25,6,2015-12-23,16.85
10792,91,1,2015-12-23,23.79
10793,4,3,2015-12-24,4.52
10794,61,6,2015-12-24,21.49
10795,20,8,2015-12-24,126.66
10796,35,3,2015-12-25,26.52
10797,17,7,2015-12-25,33.35
10798,38,2,2015-12-26,2.33
10799,39,9,2015-12-26,30.76
10800,72,1,2015-12-26,137.44
10801,8,4,2015-12-29,97.09
10802,73,4,2015-12-29,257.26
10803,88,4,2015-12-30,55.23
10804,72,6,2015-12-30,27.33
10805,77,2,2015-12-30,237.34
10806,84,3,2015-12-31,22.11
10807,27,4,2015-12-31,1.36
10808,55,2,2016-01-01,45.53
10809,88,7,2016-01-01,4.87
10810,42,2,2016-01-01,4.33
10811,47,8,2016-01-02,31.22
10812,66,5,2016-01-02,59.78
10813,67,1,2016-01-05,47.38
10814,84,3,2016-01-05,130.94
10815,71,2,2016-01-05,14.62
10816,32,4,2016-01-06,719.78
10817,39,3,2016-01-06,306.07
10818,49,7,2016-01-07,65.48
10819,12,2,2016-01-07,19.76
10820,65,3,2016-01-07,37.52
10821,75,1,2016-01-08,36.68
10822,82,6,2016-01-08,7.00
10823,46,5,2016-01-09,163.97
10824,24,8,2016-01-09,1.23
10825,17,1,2016-01-09,79.25
10826,7,6,2016-01-12,7.09
10827,9,1,2016-01-12,63.54
10828,64,9,2016-01-13,90.85
10829,38,9,2016-01-13,154.72
10830,81,4,2016-01-13,81.83
10831,70,3,2016-01-14,72.19
10832,41,2,2016-01-14,43.26
10833,56,6,2016-01-15,71.49
10834,81,1,2016-01-15,29.78
10835,1,1,2016-01-15,69.53
10836,20,7,2016-01-16,411.88
10837,5,9,2016-01-16,13.32
10838,47,3,2016-01-19,59.28
10839,81,3,2016-01-19,35.43
10840,47,4,2016-01-19,2.71
10841,76,5,2016-01-20,424.30
10842,80,1,2016-01-20,54.42
10843,84,4,2016-01-21,9.26
10844,59,8,2016-01-21,25.22
10845,63,8,2016-01-21,212.98
10846,76,2,2016-01-22,56.46
10847,71,4,2016-01-22,487.57
10848,16,7,2016-01-23,38.24
10849,39,9,2016-01-23,0.56
10850,84,1,2016-01-23,49.19
10851,67,5,2016-01-26,160.55
10852,65,8,2016-01-26,174.05
10853,6,9,2016-01-27,53.83
10854,20,3,2016-01-27,100.22
10855,55,3,2016-01-27,170.97
10856,3,3,2016-01-28,58.43
10857,5,8,2016-01-28,188.85
10858,40,2,2016-01-29,52.51
10859,25,1,2016-01-29,76.10
10860,26,3,2016-01-29,19.26
10861,89,4,2016-01-30,14.93
10862,44,8,2016-01-30,53.23
10863,35,4,2016-02-02,30.26
10864,4,4,2016-02-02,3.04
10865,63,2,2016-02-02,348.14
10866,5,5,2016-02-03,109.11
10867,48,6,2016-02-03,1.93
10868,62,7,2016-02-04,191.27
10869,72,5,2016-02-04,143.28
10870,91,5,2016-02-04,12.04
10871,9,9,2016-02-05,112.27
10872,30,5,2016-02-05,175.32
10873,90,4,2016-02-06,0.82
10874,30,5,2016-02-06,19.58
10875,5,4,2016-02-06,32.37
10876,9,7,2016-02-09,60.42
10877,67,1,2016-02-09,38.06
10878,63,4,2016-02-10,46.69
10879,90,3,2016-02-10,8.50
10880,24,7,2016-02-10,88.01
10881,12,4,2016-02-11,2.84
10882,71,4,2016-02-11,23.10
10883,48,8,2016-02-12,0.53
10884,45,4,2016-02-12,90.97
10885,76,6,2016-02-12,5.64
10886,34,1,2016-02-13,4.99
10887,29,8,2016-02-13,1.25
10888,30,1,2016-02-16,51.87
10889,65,9,2016-02-16,280.61
10890,18,7,2016-02-16,32.76
10891,44,7,2016-02-17,20.37
10892,50,4,2016-02-17,120.27
10893,39,9,2016-02-18,77.78
10894,71,1,2016-02-18,116.13
10895,20,3,2016-02-18,162.75
10896,50,7,2016-02-19,32.45
10897,37,3,2016-02-19,603.54
10898,54,4,2016-02-20,1.27
10899,46,5,2016-02-20,1.21
10900,88,1,2016-02-20,1.66
10901,35,4,2016-02-23,62.09
10902,24,1,2016-02-23,44.15
10903,34,3,2016-02-24,36.71
10904,89,3,2016-02-24,162.95
10905,88,9,2016-02-24,13.72
10906,91,4,2016-02-25,26.29
10907,74,6,2016-02-25,9.19
10908,66,4,2016-02-26,32.96
10909,70,1,2016-02-26,53.05
10910,90,1,2016-02-26,38.11
10911,30,3,2016-02-26,38.19
10912,37,2,2016-02-26,580.91
10913,62,4,2016-02-26,33.05
10914,62,6,2016-02-27,21.19
10915,80,2,2016-02-27,3.51
10916,64,1,2016-02-27,63.77
10917,69,4,2016-03-02,8.29
10918,10,3,2016-03-02,48.83
10919,47,2,2016-03-02,19.80
10920,4,4,2016-03-03,29.61
10921,83,1,2016-03-03,176.48
10922,34,5,2016-03-03,62.74
10923,41,7,2016-03-03,68.26
10924,5,3,2016-03-04,151.52
10925,34,3,2016-03-04,2.27
10926,2,4,2016-03-04,39.92
10927,40,4,2016-03-05,19.79
10928,29,1,2016-03-05,1.36
10929,25,6,2016-03-05,33.93
10930,76,4,2016-03-06,15.55
10931,68,4,2016-03-06,13.60
10932,9,8,2016-03-06,134.64
10933,38,6,2016-03-06,54.15
10934,44,3,2016-03-09,32.01
10935,88,4,2016-03-09,47.59
10936,32,3,2016-03-09,33.68
10937,12,7,2016-03-10,31.51
10938,63,3,2016-03-10,31.89
10939,49,2,2016-03-10,76.33
10940,9,8,2016-03-11,19.77
10941,71,7,2016-03-11,400.81
10942,66,9,2016-03-11,17.95
10943,11,4,2016-03-11,2.17
10944,10,6,2016-03-12,52.92
10945,52,4,2016-03-12,10.22
10946,83,1,2016-03-12,27.20
10947,11,3,2016-03-13,3.26
10948,30,3,2016-03-13,23.39
10949,10,2,2016-03-13,74.44
10950,49,1,2016-03-16,2.50
10951,68,9,2016-03-16,30.85
10952,1,1,2016-03-16,40.42
10953,4,9,2016-03-16,23.72
10954,47,5,2016-03-17,27.91
10955,24,8,2016-03-17,3.26
10956,6,6,2016-03-17,44.65
10957,35,8,2016-03-18,105.36
10958,54,7,2016-03-18,49.56
10959,31,6,2016-03-18,4.98
10960,35,3,2016-03-19,2.08
10961,62,8,2016-03-19,104.47
10962,63,8,2016-03-19,275.79
10963,28,9,2016-03-19,2.70
10964,74,3,2016-03-20,87.38
10965,55,6,2016-03-20,144.38
10966,14,4,2016-03-20,27.19
10967,79,2,2016-03-23,62.22
10968,20,1,2016-03-23,74.60
10969,15,1,2016-03-23,0.21
10970,8,9,2016-03-24,16.16
10971,26,2,2016-03-24,121.82
10972,40,4,2016-03-24,0.02
10973,40,6,2016-03-24,15.17
10974,75,3,2016-03-25,12.96
10975,10,1,2016-03-25,32.27
10976,35,1,2016-03-25,37.97
10977,24,8,2016-03-26,208.50
10978,50,9,2016-03-26,32.82
10979,20,8,2016-03-26,353.07
10980,24,4,2016-03-27,1.26
10981,34,1,2016-03-27,193.37
10982,10,2,2016-03-27,14.01
10983,71,2,2016-03-27,657.54
10984,71,1,2016-03-30,211.22
10985,37,2,2016-03-30,91.51
10986,54,8,2016-03-30,217.86
10987,19,8,2016-03-31,185.48
10988,65,3,2016-03-31,61.14
10989,61,2,2016-03-31,34.76
10990,20,2,2016-04-01,117.61
10991,63,1,2016-04-01,38.51
10992,77,1,2016-04-01,4.27
10993,24,7,2016-04-01,8.81
10994,83,2,2016-04-02,65.53
10995,58,1,2016-04-02,46.00
10996,63,4,2016-04-02,1.12
10997,46,8,2016-04-03,73.91
10998,91,8,2016-04-03,20.31
10999,56,6,2016-04-03,96.35
11000,65,2,2016-04-06,55.12
11001,24,2,2016-04-06,197.30
11002,71,4,2016-04-06,141.16
11003,78,3,2016-04-06,14.91
11004,50,3,2016-04-07,44.84
11005,90,2,2016-04-07,0.75
11006,32,3,2016-04-07,25.19
11007,60,8,2016-04-08,202.24
11008,20,7,2016-04-08,79.46
11009,30,2,2016-04-08,59.11
11010,66,2,2016-04-09,28.71
11011,1,3,2016-04-09,1.21
11012,25,1,2016-04-09,242.95
11013,69,2,2016-04-09,32.99
11014,47,2,2016-04-10,23.60
11015,70,2,2016-04-10,4.62
11016,4,9,2016-04-10,33.80
11017,20,9,2016-04-13,754.26
11018,48,4,2016-04-13,11.65
11019,64,6,2016-04-13,3.17
11020,56,2,2016-04-14,43.30
11021,63,3,2016-04-14,297.18
